YYYY,CO2,CH4,N2O,HFC-134a,HFC-23,HFC-32,HFC-125,HFC-143a,HFC-152a,HFC-227ea,HFC-236fa,HFC-245fa,HFC-365mfc,HFC-43-10mee,NF3,SF6,SO2F2,CF4,C2F6,C3F8,c-C4F8,CFC-12,CFC-11,CFC-113,CFC-114,CFC-115,CFC-13,HCFC-22,HCFC-141b,HCFC-142b,CH3CCl3,CCl4,CH3Cl,CH3Br,CH2Cl2,CHCl3,Halon-1211,Halon-1301,Halon-2402,n-C4F10,n-C5F12,n-C6F14,i-C6F14,C7F16,C8F18,CFC-112,CFC-112a,CFC-113a,CFC-114a,HCFC-133a,HCFC-31,HCFC-124
1750,278.3,729.2,270.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1850,285.5,807.6,272.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1851,285.6,807.8,272.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1852,285.8,808.5,272.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1853,285.9,809.8,272.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1854,286,811.1,272.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1855,286.1,812.7,272.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1856,286.2,814.2,272.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1857,286.3,815.8,272.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1858,286.5,817.7,272.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1859,286.6,819.8,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1860,286.8,821.7,273.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1861,287,823.8,273.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1862,287.2,826.4,273.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1863,287.3,829.6,273.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1864,287.5,833,273.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1865,287.7,836.3,274.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1866,287.8,839.8,274.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1867,288,843.4,274.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1868,288.1,846.7,274.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1869,288.2,849.6,274.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1870,288.4,851.9,274.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1871,288.5,853.4,275.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1872,288.6,854.7,275.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1873,288.8,855.6,275.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1874,289,857.3,275.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1875,289.2,858.9,275.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1876,289.5,860.3,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1877,289.7,861.9,276.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1878,289.9,863.6,276.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1879,290.1,865.8,276.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1880,290.4,868.2,276.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1881,290.6,870.5,276.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1882,290.9,872.8,276.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1883,291.1,875.1,276.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1884,291.4,877.7,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1885,291.7,880.5,277.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1886,292,883.4,277.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1887,292.3,886.5,277.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1888,292.6,889.5,277.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1889,292.9,892.7,277.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1890,293.3,895.9,277.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1891,293.6,899.2,277.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1892,294,903.1,277.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1893,294.3,906.8,277.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1894,294.6,910,278.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1895,294.9,912.8,278.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1896,295.1,914.3,278.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1897,295.4,915.9,278.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1898,295.7,918.6,278.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1899,296,921.9,278.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1900,296.4,925.1,278.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1901,296.7,928.4,279.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1902,297,932.3,279.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1903,297.4,936.4,279.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1904,297.6,941.7,279.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1905,298,947.1,280.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1906,298.3,952.7,280.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1907,298.8,958.8,280.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1908,299.2,963.7,281.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1909,299.6,969,281.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1910,300,974.4,281.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1911,300.5,979.1,282.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.11,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.08,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1912,301,983.3,282.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.13,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.1,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1913,301.5,985.9,282.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.15,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.12,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1914,302,988.3,283.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.19,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1915,302.5,991.1,283.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.19,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.32,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1916,303.1,998.1,283.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.52,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1917,303.6,1003.2,284.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.26,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.76,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1918,304,1009.8,284.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.3,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.93,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1919,304.4,1017.3,284.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.34,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1.08,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1920,304.8,1024.8,284.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.38,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1.18,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1921,305.1,1031.9,284.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.41,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1.24,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1922,305.5,1038.8,284.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.43,0.04,0,0,0,0,0,0,0,0.001,0,0,0,0,1.39,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1923,305.8,1044.8,285.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.46,0.05,0,0,0,0,0,0,0,0.001,0,0,0,0,1.62,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1924,306.1,1049.2,285.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.51,0.05,0,0,0,0,0,0,0,0.002,0,0,0,0,1.85,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1925,306.3,1051.9,285.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.56,0.06,0,0,0,0,0,0,0,0.003,0,0,0,0,2.12,457,5.3,6.9,4.9,0,0,0,0,0,0,,0,0,,,,,,,
1926,306.4,1053.3,285.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0.07,0,0,0,0,0,0,0,0.005,0,0,0,0,2.46,457,5.3,6.9,4.9,0,0,0,0,0,0,,0,0,,,,,,,
1927,306.7,1055.5,285.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.68,0.07,0,0,0,0,0,0,0,0.006,0,0,0,0,2.69,457,5.3,6.9,4.9,0,0,0,0,0,0,,0,0,,,,,,,
1928,306.8,1060.4,285.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.74,0.08,0,0,0,0,0,0,0,0.008,0,0,0,0,3.03,457,5.3,6.9,4.9,0,0,0,0,0,0,,0,0,,,,,,,
1929,307,1066.4,285.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.83,0.09,0,0,0,0,0,0,0,0.009,0,0,0,0,3.52,457,5.3,6.9,5,0,0,0,0,0,0,,0,0,,,,,,,
1930,307.1,1072.4,285.6,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,34.91,0.1,0,0,0,0,0,0,0,0.01,0,0,0,0,4.06,457,5.3,6.9,5,0,0,0,0,0,0,,0,0,,,,,,,
1931,307.3,1077.2,285.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.99,0.11,0,0,0,0,0.02,0,0,0.01,0,0,0,0,4.7,457,5.31,6.9,5,0,0,0,0,0,0,,0,0,,,,,,,
1932,307.5,1081.7,285.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.04,0.11,0,0,0,0,0.07,0,0,0.02,0,0,0,0,5.29,457,5.34,6.9,5,0,0,0,0,0,0,,0,0,,,,,,,
1933,307.8,1086.3,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.08,0.12,0,0,0,0,0.12,0,0,0.02,0,0,0,0,5.94,457,5.38,6.9,5.1,0,0,0,0,0,0,,0,0,,,,,,,
1934,308.2,1091.5,286.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.11,0.12,0,0,0,0,0.17,0,0,0.02,0,0,0,0,6.68,457,5.42,6.9,5.1,0,0,0,0,0,0,,0,0,,,,,,,
1935,308.6,1096.8,286.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.16,0.13,0,0,0,0,0.22,0,0,0.02,0.02,0,0,0,7.6,457,5.46,6.9,5.1,0,0,0,0,0,0,,0,0,,,,,,,
1936,309.4,1101.6,286.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.23,0.13,0,0,0,0,0.27,0,0,0.02,0.08,0,0,0,8.76,457,5.5,6.9,5.1,0,0,0,0,0,0,,0,0,,,,,,,
1937,310.2,1106.1,286.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.34,0.14,0,0,0,0,0.32,0,0,0.03,0.14,0,0,0,10.02,457,5.54,6.9,5.2,0,0,0,0,0,0,,0,0,,,,,,,
1938,310.7,1110.4,286.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.47,0.16,0,0,0,0,0.37,0,0,0.03,0.2,0,0,0,11.27,457,5.58,6.9,5.2,0,0,0,0,0,0,,0,0,,,,,,,
1939,311.2,1116.7,287.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.62,0.17,0.01,0,0,0,0.42,0,0,0.03,0.26,0,0,0,12.58,457,5.62,6.9,5.2,0,0,0,0,0,0,,0,0,,,,,,,
1940,311.7,1119.9,287.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8,0.19,0.01,0,0,0,0.47,0.01,0,0.03,0.32,0,0,0,14.09,457,5.66,6.9,5.3,0,0,0,0,0,0,,0,0,,,,,,,
1941,312.2,1123,287.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.99,0.21,0.01,0,0,0,0.52,0.05,0,0.03,0.38,0,0,0,15.87,457,5.7,6.9,5.3,0.01,0,0,0,0,0,,0,0,,,,,,,
1942,312.5,1128,287.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.24,0.24,0.01,0,0,0,0.57,0.11,0,0.04,0.44,0,0,0,18.12,457,5.74,7,5.3,0.02,0,0,0,0,0,,0,0,,,,,,,
1943,312.7,1132.5,288.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.56,0.27,0.01,0,0,0,0.62,0.2,0,0.04,0.5,0,0,0,20.79,457.9,5.78,7,5.4,0.02,0,0,0,0,0,,0,0,,,,,,,
1944,312.7,1136.1,288.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.99,0.31,0.01,0,0.02,0,0.67,0.32,0,0.04,0.56,0,0,0,23.86,460.7,5.82,7.1,5.4,0.03,0,0,0,0,0,,0,0,,,,,,,
1945,312.7,1139.1,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.3,0.34,0.01,0,0.42,0,0.72,0.46,0,0.04,0.62,0,0,0,25.9,463.2,5.86,7.2,5.4,0.03,0,0,0,0,0,,0,0,,,,,,,
1946,312.7,1143.5,289.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.39,0.34,0.01,0,1.64,0.08,0.77,0.62,0,0.04,0.68,0,0,0,27.5,465.7,5.9,7.3,5.5,0.03,0,0,0,0,0,,0,0,,,,,,,
1947,312.8,1149.5,289.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0.35,0.01,0,2.84,0.3,0.82,0.81,0,0.04,0.74,0,0,0,29.08,468.2,5.94,7.4,5.5,0.03,0,0,0,0,0,,0,0,,,,,,,
1948,312.8,1155.5,289.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.67,0.37,0.01,0,4.03,0.5,0.87,1.03,0,0.04,0.8,0,0,0,31.04,470.7,5.98,7.5,5.6,0.03,0,0,0,0,0,,0,0,,,,,,,
1949,312.9,1160.2,289.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.86,0.38,0.01,0,5.22,0.7,0.92,1.25,0,0.04,0.86,0,0,0,33.19,473.2,6.02,7.7,5.6,0.03,0,0,0,0,0,,0,0,,,,,,,
1950,313.1,1163.7,289.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.02,0.4,0.01,0,6.38,0.89,0.97,1.48,0,0.04,0.93,0,0,0,35.5,475.7,6.06,7.9,5.7,0.03,0,0,0,0,0,,0,0,,,,,,,
1951,313.3,1168.6,289.7,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,38.2,0.41,0.01,0,7.78,1.15,1.02,1.73,0,0.04,0.93,0,0,0,37.58,478.3,6.1,8,5.7,0.03,0,0,0,0,0,,0,0,,,,,,,
1952,313.6,1174.2,289.8,0,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,38.41,0.43,0.01,0,9.44,1.55,1.08,1.98,0,0.04,0.92,0,0,0,38.71,481.2,6.14,8.2,5.8,0.03,0,0,0,0,0,,0,0,,,,,,,
1953,314,1183.2,290.1,0,0.05,0,0,0,0,0,0,0,0,0,0,0.02,0,38.61,0.44,0.02,0,11.21,2.13,1.14,2.24,0,0.04,0.93,0,0,0,40.05,484.2,6.18,8.5,5.9,0.02,0,0,0,0,0,,0,0,,,,,,,
1954,314.3,1194.3,290.4,0,0.08,0,0,0,0,0,0,0,0,0,0,0.03,0,38.84,0.45,0.02,0,13.2,2.86,1.21,2.49,0,0.04,0.96,0,0,0.02,41.54,488.5,6.23,8.7,5.9,0.02,0,0,0,0,0,,0,0,,,,,,,
1955,314.6,1206.5,290.7,0,0.13,0,0,0,0,0,0,0,0,0,0,0.04,0,39.07,0.47,0.02,0,15.44,3.77,1.29,2.75,0,0.04,1.05,0,0,0.11,43.17,493.3,6.27,9,6,0.02,0,0,0,0,0,,0,0,,,,,,,
