year,ssp119,ssp126,ssp245,ssp370,ssp434,ssp460,ssp534-over,ssp585
1978,0.356862745,0.356862745,0.356862745,0.356862745,0.356862745,0.356862745,0.356862745,0.356862745
1979,0.439362745,0.439362745,0.439362745,0.439362745,0.439362745,0.439362745,0.439362745,0.439362745
1980,0.544362745,0.544362745,0.544362745,0.544362745,0.544362745,0.544362745,0.544362745,0.544362745
1981,0.599362745,0.599362745,0.599362745,0.599362745,0.599362745,0.599362745,0.599362745,0.599362745
1982,0.396862745,0.396862745,0.396862745,0.396862745,0.396862745,0.396862745,0.396862745,0.396862745
1983,0.574362745,0.574362745,0.574362745,0.574362745,0.574362745,0.574362745,0.574362745,0.574362745
1984,0.411862745,0.411862745,0.411862745,0.411862745,0.411862745,0.411862745,0.411862745,0.411862745
1985,0.401862745,0.401862745,0.401862745,0.401862745,0.401862745,0.401862745,0.401862745,0.401862745
1986,0.451862745,0.451862745,0.451862745,0.451862745,0.451862745,0.451862745,0.451862745,0.451862745
1987,0.584362745,0.584362745,0.584362745,0.584362745,0.584362745,0.584362745,0.584362745,0.584362745
1988,0.639362745,0.639362745,0.639362745,0.639362745,0.639362745,0.639362745,0.639362745,0.639362745
1989,0.529362745,0.529362745,0.529362745,0.529362745,0.529362745,0.529362745,0.529362745,0.529362745
1990,0.701862745,0.701862745,0.701862745,0.701862745,0.701862745,0.701862745,0.701862745,0.701862745
1991,0.681862745,0.681862745,0.681862745,0.681862745,0.681862745,0.681862745,0.681862745,0.681862745
1992,0.476862745,0.476862745,0.476862745,0.476862745,0.476862745,0.476862745,0.476862745,0.476862745
1993,0.529362745,0.529362745,0.529362745,0.529362745,0.529362745,0.529362745,0.529362745,0.529362745
1994,0.584362745,0.584362745,0.584362745,0.584362745,0.584362745,0.584362745,0.584362745,0.584362745
1995,0.734362745,0.734362745,0.734362745,0.734362745,0.734362745,0.734362745,0.734362745,0.734362745
1996,0.621862745,0.621862745,0.621862745,0.621862745,0.621862745,0.621862745,0.621862745,0.621862745
1997,0.766862745,0.766862745,0.766862745,0.766862745,0.766862745,0.766862745,0.766862745,0.766862745
1998,0.911862745,0.911862745,0.911862745,0.911862745,0.911862745,0.911862745,0.911862745,0.911862745
1999,0.671862745,0.671862745,0.671862745,0.671862745,0.671862745,0.671862745,0.671862745,0.671862745
2000,0.676862745,0.676862745,0.676862745,0.676862745,0.676862745,0.676862745,0.676862745,0.676862745
2001,0.821862745,0.821862745,0.821862745,0.821862745,0.821862745,0.821862745,0.821862745,0.821862745
2002,0.891862745,0.891862745,0.891862745,0.891862745,0.891862745,0.891862745,0.891862745,0.891862745
2003,0.886862745,0.886862745,0.886862745,0.886862745,0.886862745,0.886862745,0.886862745,0.886862745
2004,0.811862745,0.811862745,0.811862745,0.811862745,0.811862745,0.811862745,0.811862745,0.811862745
2005,0.959362745,0.959362745,0.959362745,0.959362745,0.959362745,0.959362745,0.959362745,0.959362745
2006,0.911862745,0.911862745,0.911862745,0.911862745,0.911862745,0.911862745,0.911862745,0.911862745
2007,0.929362745,0.929362745,0.929362745,0.929362745,0.929362745,0.929362745,0.929362745,0.929362745
2008,0.806862745,0.806862745,0.806862745,0.806862745,0.806862745,0.806862745,0.806862745,0.806862745
2009,0.936862745,0.936862745,0.936862745,0.936862745,0.936862745,0.936862745,0.936862745,0.936862745
2010,1.006862745,1.006862745,1.006862745,1.006862745,1.006862745,1.006862745,1.006862745,1.006862745
2011,0.889362745,0.889362745,0.889362745,0.889362745,0.889362745,0.889362745,0.889362745,0.889362745
2012,0.914362745,0.914362745,0.914362745,0.914362745,0.914362745,0.914362745,0.914362745,0.914362745
2013,0.941862745,0.941862745,0.941862745,0.941862745,0.941862745,0.941862745,0.941862745,0.941862745
2014,1.016862745,1.016862745,1.016862745,1.016862745,1.016862745,1.016862745,1.016862745,1.016862745
2015,1.161862745,1.161862745,1.161862745,1.161862745,1.161862745,1.161862745,1.161862745,1.161862745
2016,1.276862745,1.276862745,1.276862745,1.276862745,1.276862745,1.276862745,1.276862745,1.276862745
2017,1.186862745,1.186862745,1.186862745,1.186862745,1.186862745,1.186862745,1.186862745,1.186862745
2018,1.109362745,1.109362745,1.109362745,1.109362745,1.109362745,1.109362745,1.109362745,1.109362745
2019,1.236862745,1.236862745,1.236862745,1.236862745,1.236862745,1.236862745,1.236862745,1.236862745
2020,1.269362745,1.269362745,1.269362745,1.269362745,1.269362745,1.269362745,1.269362745,1.269362745
2021,1.109362745,1.109362745,1.109362745,1.109362745,1.109362745,1.109362745,1.109362745,1.109362745
2022,1.154362745,1.154362745,1.154362745,1.154362745,1.154362745,1.154362745,1.154362745,1.154362745
2023,1.30491197204073,1.30017334425056,1.30456131046919,1.29387101574731,1.29987353948765,1.29873793927865,1.34606142909413,1.34462431296613
2024,1.33070771918206,1.32487162767139,1.33098495077508,1.3215306755937,1.32606722801694,1.3256632514811,1.3794551089682,1.37742527309087
2025,1.35559254052913,1.34955090610143,1.35635535038224,1.34982337706421,1.35226835908965,1.35255609244565,1.41374664187908,1.41101498020493
2026,1.37891680196309,1.37281081783892,1.38198727263691,1.37863256491164,1.37748509903366,1.38001468585756,1.44811291015934,1.44504704176146
2027,1.40001292818456,1.39675930808592,1.40740632018333,1.40788954499637,1.40186699524592,1.40708015703463,1.483095344578,1.47946351779696
2028,1.4199847404695,1.41889221665089,1.43217371805281,1.43651342309132,1.4257921041929,1.43431888454507,1.51814417353089,1.51382952019416
2029,1.43926876199342,1.44121560765578,1.45657701919919,1.46603189164478,1.44874173509147,1.46259304796165,1.5545251138315,1.54973844717458
2030,1.45750810274399,1.46235485520091,1.48148063763259,1.49604882240419,1.47037538818978,1.49015428006689,1.59041864393207,1.58496849468357
2031,1.47217230107563,1.48252422140173,1.50574107156512,1.52604580437642,1.4916699106589,1.5188955115252,1.62626375162063,1.62037887004663
2032,1.48498212834983,1.50183676484918,1.52918245231927,1.55697343279077,1.51275392980726,1.54687581484682,1.66269500868395,1.65638796975441
2033,1.49306805009584,1.52056939013463,1.55437071708777,1.58749544539267,1.53230782569021,1.57426968379323,1.69902058102045,1.69218378334089
2034,1.50089405033026,1.53800746182736,1.57869833713872,1.61803741065987,1.55168545498914,1.60330522507071,1.73625696567335,1.7284812316541
2035,1.50648183633938,1.55467911774083,1.60327088891848,1.64791136181065,1.57021136653849,1.63243938188652,1.77304145916134,1.76446820470448
2036,1.5105948606028,1.57040370516907,1.6283908366298,1.67935751238959,1.58856350929858,1.66063625739031,1.81090796514558,1.80156963115142
2037,1.5129484291593,1.58499002143728,1.65336371023385,1.70996009482221,1.60608568190285,1.68885034467993,1.84898365358043,1.83916240045885
2038,1.5146331345141,1.59824245817612,1.67801355342005,1.74153732732522,1.62396736936237,1.71715169679142,1.88715985425071,1.87715370546727
2039,1.51663099511982,1.6114067492218,1.70221648252019,1.77309002947052,1.64056444260911,1.74605734906852,1.92701150333365,1.91636167892006
2040,1.51749510800464,1.62375617481892,1.72559307111586,1.80468777572749,1.65738105537397,1.7744609014836,1.96721799534943,1.95635383418913
2041,1.5170854046469,1.63487765832995,1.75100560495232,1.83552708487637,1.673725342059,1.80430120627707,2.00754656260661,1.99626622282328
2042,1.51529070900525,1.64502158872147,1.77508560438076,1.86783870533202,1.6916655645538,1.83264326574895,2.04799666426331,2.03628708097616
2043,1.51488663431321,1.65462401839284,1.7982680020798,1.90012816989005,1.7079347681517,1.86143435918528,2.08852766295343,2.07725957170403
2044,1.51186984864665,1.66302992492811,1.82235286385931,1.93217567510626,1.72406884722013,1.89177786051764,2.12803070226735,2.1183680179599
2045,1.50971368765564,1.671190227262,1.84500444093755,1.96422063648672,1.73950996744025,1.91999345734825,2.16691379154249,2.16086431311712
2046,1.50721808398082,1.67829641525662,1.86964959743352,1.99612513355853,1.75479874190479,1.94907863643237,2.20325754848846,2.20413340639539
2047,1.50366463924979,1.68563624273554,1.8939408998534,2.02811598576065,1.77037217364943,1.97803665949635,2.2381982135705,2.2483323832205
2048,1.50009725253074,1.69196819019727,1.91753846644486,2.06020206672389,1.78554938961631,2.00475745713523,2.26873187737344,2.29245424348137
2049,1.49638631219479,1.69796315310441,1.94008972018392,2.09323595397987,1.80044206406727,2.03284804238968,2.29808459124405,2.33707997698788
2050,1.49208071463324,1.70322851674433,1.96348007789443,2.12630127671164,1.81518186985719,2.06086790190704,2.32356323079691,2.38238329417142
2051,1.48770554827523,1.70859734377483,1.98657192983912,2.15999041576252,1.829099564402,2.08896776245699,2.34550975601311,2.42772122112845
2052,1.48255576951433,1.71383442338012,2.00869090050975,2.19296549111308,1.84206631907948,2.11639481829802,2.3662870473587,2.47396414558444
2053,1.47833768572913,1.71804313257575,2.03022086624891,2.2260743813082,1.85427920027362,2.14491716866018,2.38276366530676,2.51948094075308
2054,1.4739700979692,1.72209911679913,2.05133989222851,2.26226313849185,1.86686555253002,2.17213903616549,2.39583579681159,2.56547927905752
2055,1.46898635344043,1.72576958636495,2.07220187030445,2.29647853529209,1.87909515376913,2.19865132294142,2.4055794234016,2.61097561576535
2056,1.46380722522772,1.72941459963909,2.09299100995057,2.3296654229118,1.89173696730245,2.2262035140508,2.41354125425839,2.65647898432501
2057,1.45892685844157,1.73281545407304,2.11349001585637,2.36452834585272,1.90312856823956,2.25387709037784,2.41934327313738,2.70249288371448
2058,1.45415385385378,1.73583848650684,2.13403000813065,2.39895290055497,1.91493478442634,2.2808322555557,2.42418242258285,2.7487695256297
2059,1.44931024678591,1.73852007676153,2.15423106511954,2.43341658136468,1.92594071678416,2.30661063690141,2.42558930582546,2.79616305096164
2060,1.44437745718823,1.74153243121306,2.17512217767423,2.46924557930683,1.9367523926609,2.33218302682365,2.42381158365394,2.84394873600142
2061,1.43949257114975,1.74390811614329,2.19500688027606,2.50463033068882,1.94687476650144,2.35818038451182,2.42140466919051,2.89155469083816
2062,1.43513261486367,1.74577948952077,2.21397611511185,2.53802373736433,1.95669856493596,2.38486441937252,2.41723012530086,2.9394989702482
2063,1.43059804460656,1.74717484301723,2.23353329594125,2.57272887001723,1.96643453696496,2.41047169436101,2.41032769598316,2.98780649643509
2064,1.42630440666508,1.74871756250319,2.252266824061,2.60796043854253,1.97517570662865,2.43577178350604,2.40332073420662,3.03601558599695
2065,1.4221254518336,1.74985958421739,2.26923632814304,2.64459279187036,1.98346022554544,2.46054122539135,2.39405954597482,3.08418676952106
2066,1.41772140275999,1.75016465115749,2.2877578468924,2.6795460285077,1.99183806001636,2.4859404276053,2.38360096449997,3.13361503178629
2067,1.4133128404778,1.75071229800696,2.30681074390233,2.71545547317679,1.99970423466227,2.50994925214498,2.3728736233497,3.18052515145717
2068,1.40871744237082,1.75060150726279,2.32430727200281,2.75171427245679,2.00814608044263,2.53546561898749,2.36200619715474,3.23041970062369
2069,1.40435715357069,1.75061067066987,2.34113477807144,2.78685493987264,2.01507517755232,2.56144926979423,2.35221918402387,3.28012205007972
2070,1.39998858548359,1.75051403612947,2.35886412135682,2.82216743627912,2.02151529494448,2.58596777835317,2.34007688218874,3.33023258320797
2071,1.39588431763548,1.7499237281179,2.37664626763605,2.8590458706499,2.02816757309163,2.6105348236834,2.32842737840042,3.38150507545963
2072,1.3923640143781,1.74909051938699,2.39289392649528,2.89577373193443,2.03509016936542,2.63448550471359,2.31538631712584,3.43277589644353
2073,1.38814897073327,1.74819730835235,2.40904594672048,2.93262494112961,2.04119794259625,2.65883959138476,2.30263645150032,3.48335105196371
2074,1.38448440193355,1.74705624991586,2.42510640436969,2.96787675224636,2.04737435069593,2.68323350205437,2.28906276024427,3.53571956756412
2075,1.3808893837668,1.74536840298082,2.44092167828218,3.0047642039788,2.05331165751413,2.70628912836617,2.27574367840111,3.58728352829742
2076,1.37724803560332,1.74320988341656,2.45673778542153,3.04232139213639,2.05863641482862,2.72940523181107,2.26296871468479,3.6399328960341
2077,1.37366803551396,1.74125277974584,2.47241758095693,3.07963732075248,2.06445084775772,2.75189414329847,2.24935043406844,3.69186286895509
2078,1.36993977915603,1.73867528834751,2.48854539756761,3.11659105255871,2.06931383167279,2.77428700365711,2.23582674158461,3.74462112274683
2079,1.36626113927049,1.7359104539011,2.50278519021262,3.15302891473699,2.07388751263155,2.79766182632375,2.22331030690722,3.79577296629306
2080,1.36180074456867,1.73259301519734,2.51809284992609,3.19011346369711,2.07794395051438,2.81829990287442,2.20992061101052,3.84908769219723
2081,1.3578413997459,1.72889624976566,2.53225389600771,3.22764763960174,2.08176158777268,2.8386434991953,2.196876550227,3.90066156974966
2082,1.35370771030179,1.72471199119904,2.54587097467514,3.26664322006647,2.0860112598369,2.8591199415052,2.18332611246963,3.95472219132173
2083,1.349767902959,1.72063219889164,2.56020832802068,3.30351425521904,2.09021917415755,2.87828833501198,2.1703829871974,4.00494978284547
2084,1.34604622719428,1.71664280272335,2.57367987977095,3.34022441065926,2.09280433369496,2.89755612564272,2.15777999031879,4.05557032057049
2085,1.34159857406653,1.71252054639848,2.58652779498968,3.37761660829594,2.09600812244001,2.9166224961596,2.14482378249979,4.10668770150006
2086,1.33679128519567,1.70740078342704,2.59904797429803,3.41563337431199,2.09878453732682,2.93591661481358,2.13277065958107,4.15706072434996
2087,1.33248115782033,1.70238176703675,2.6118451373116,3.454130408809,2.10153960537022,2.95498327863151,2.12021134531431,4.20688714640017
2088,1.32744292631662,1.69733959795977,2.62365412512322,3.49138243229713,2.10500375244253,2.97316639087694,2.10912759564057,4.25574678342941
2089,1.32244929653981,1.69219188100309,2.63471497405151,3.52958672342231,2.10764105371277,2.99091420953662,2.09701773272988,4.30386984666041
2090,1.31782081583406,1.68727531342574,2.64610132286884,3.56818633100027,2.10923780893932,3.00840836349801,2.08499064354408,4.35199235772391
2091,1.3129162939074,1.68231483298635,2.65692005633541,3.6060861993374,2.11101312868987,3.02435284836166,2.07286976068528,4.39821789154665
2092,1.30811380688069,1.67735310102447,2.66646240984223,3.64501354034422,2.11198841852202,3.03968667798819,2.06139616854301,4.44573479769083
2093,1.30312302744124,1.67266887499255,2.67595475698263,3.68424199600324,2.11120891124943,3.05480550293263,2.05003218723339,4.49334436544003
2094,1.29822203675509,1.66759640779668,2.6853963169132,3.72236866308196,2.1111725769595,3.06902151132815,2.03857214896718,4.54062948661261
2095,1.2932117233866,1.66327445726717,2.69472330833071,3.76152797600486,2.11021416561504,3.08453562527852,2.02755221900896,4.58559975756532
2096,1.28861168024544,1.65911235538785,2.70314388863786,3.79983188631677,2.10808585575499,3.09855733130404,2.01655244736815,4.63085903699886
2097,1.28350527410532,1.65501143791475,2.71160139272646,3.84031937328484,2.10586570383213,3.11186506792243,2.00510965336261,4.6754894279601
2098,1.27807041491051,1.65072604631203,2.71924086832174,3.87991896165113,2.10430863480367,3.1258941638951,1.99438588982926,4.71739826659366
2099,1.27254387781667,1.64703693181366,2.72721939127764,3.92006176243912,2.10184015216321,3.13944794803317,1.9832712313882,4.75978029387737
2100,1.26734808208246,1.64389105080068,2.73494494921294,3.95966454363021,2.09901700669254,3.1521842449086,1.97256757921199,4.80288132208478
