year,stratospheric_AOD
1750.041667,0.002911863
1750.125,0.002911738
1750.208333,0.002911623
1750.291667,0.002911518
1750.375,0.00291142
1750.458333,0.002911331
1750.541667,0.002911251
1750.625,0.002911179
1750.708333,0.002911113
1750.791667,0.002911051
1750.875,0.002910995
1750.958333,0.002910943
1751.041667,0.002910898
1751.125,0.002910856
1751.208333,0.002910818
1751.291667,0.002910782
1751.375,0.002910749
1751.458333,0.002910719
1751.541667,0.002910692
1751.625,0.002910668
1751.708333,0.002910646
1751.791667,0.002910625
1751.875,0.002910605
1751.958333,0.002910588
1752.041667,0.002910572
1752.125,0.002910559
1752.208333,0.002910547
1752.291667,0.002910535
1752.375,0.002910523
1752.458333,0.002910512
1752.541667,0.002910503
1752.625,0.002910496
1752.708333,0.002910489
1752.791667,0.002910482
1752.875,0.002910474
1752.958333,0.002910468
1753.041667,0.002910464
1753.125,0.00291046
1753.208333,0.002910457
1753.291667,0.002910452
1753.375,0.002910447
1753.458333,0.002910443
1753.541667,0.00291044
1753.625,0.002910438
1753.708333,0.002910436
1753.791667,0.002910433
1753.875,0.002910431
1753.958333,0.002910428
1754.041667,0.002910427
1754.125,0.002910427
1754.208333,0.002910426
1754.291667,0.002910424
1754.375,0.002910422
1754.458333,0.00291042
1754.541667,0.002910419
1754.625,0.002910419
1754.708333,0.002910419
1754.791667,0.002910417
1754.875,0.002910416
1754.958333,0.002910415
1755.041667,0.002910415
1755.125,0.002910416
1755.208333,0.002910416
1755.291667,0.002910415
1755.375,0.002910413
1755.458333,0.002910412
1755.541667,0.002910412
1755.625,0.002910412
1755.708333,0.002910413
1755.791667,0.002910412
1755.875,0.008934764
1755.958333,0.013067237
1756.041667,0.015783094
1756.125,0.017445743
1756.208333,0.018332411
1756.291667,0.018653994
1756.375,0.018570417
1756.458333,0.018202487
1756.541667,0.017641059
1756.625,0.01695408
1756.708333,0.016192001
1756.791667,0.015391956
1756.875,0.014580937
1756.958333,0.013778231
1757.041667,0.012997282
1757.125,0.012247129
1757.208333,0.011533523
1757.291667,0.010859788
1757.375,0.010227467
1757.458333,0.009636828
1757.541667,0.009087242
1757.625,0.00857746
1757.708333,0.008105825
1757.791667,0.007670421
1757.875,0.007269187
1757.958333,0.006899998
1758.041667,0.00656072
1758.125,0.006249251
1758.208333,0.005963556
1758.291667,0.005701686
1758.375,0.005461796
1758.458333,0.005242147
1758.541667,0.005041115
1758.625,0.004857188
1758.708333,0.004688961
1758.791667,0.004535133
1758.875,0.004394504
1758.958333,0.004265969
1759.041667,0.004148507
1759.125,0.004041178
1759.208333,0.003943118
1759.291667,0.003853534
1759.375,0.003771699
1759.458333,0.003696948
1759.541667,0.003628672
1759.625,0.003566313
1759.708333,0.003509359
1759.791667,0.003457342
1759.875,0.003409838
1759.958333,0.003366457
1760.041667,0.003326842
1760.125,0.003290667
1760.208333,0.003257633
1760.291667,0.003227466
1760.375,0.003199919
1760.458333,0.003174764
1760.541667,0.003151796
1760.625,0.003130823
1760.708333,0.003111671
1760.791667,0.003094183
1760.875,0.003078213
1760.958333,0.003063631
1761.041667,0.003050318
1761.125,0.003038161
1761.208333,0.003027061
1761.291667,0.003016924
1761.375,0.003007667
1761.458333,0.002999215
1761.541667,0.002991498
1761.625,0.002984452
1761.708333,0.002978018
1761.791667,0.002972143
1761.875,0.002966778
1761.958333,0.002961879
1762.041667,0.002957408
1762.125,0.027547388
1762.208333,0.044418634
1762.291667,0.055507844
1762.375,0.062296851
1762.458333,0.065916778
1762.541667,0.067228695
1762.625,0.066885971
1762.708333,0.065382356
1762.791667,0.06308906
1762.875,0.060283443
1762.958333,0.057171305
1763.041667,0.053904068
1763.125,0.050591826
1763.208333,0.04731324
1763.291667,0.044123158
1763.375,0.041058515
1763.458333,0.03814288
1763.541667,0.035390311
1763.625,0.032806621
1763.708333,0.030393142
1763.791667,0.028147442
1763.875,0.026064492
1763.958333,0.024137528
1764.041667,0.022358692
1764.125,0.02071951
1764.208333,0.01921124
1764.291667,0.017825123
1764.375,0.016552564
1764.458333,0.015385251
1764.541667,0.014315245
1764.625,0.013335024
1764.708333,0.012437513
1764.791667,0.011616084
1764.875,0.010864564
1764.958333,0.010177215
1765.041667,0.009548721
1765.125,0.008974168
1765.208333,0.008449021
1765.291667,0.007969104
1765.375,0.007530578
1765.458333,0.007129916
1765.541667,0.006763884
1765.625,0.006429514
1765.708333,0.006124088
1765.791667,0.005845114
1765.875,0.005590316
1765.958333,0.005357608
1766.041667,0.005145084
1766.125,0.004950998
1766.208333,0.004773754
1766.291667,0.004611894
1766.375,0.017329652
1766.458333,0.026020593
1766.541667,0.031698225
1766.625,0.035137032
1766.708333,0.036927719
1766.791667,0.037519797
1766.875,0.037254332
1766.958333,0.036389081
1767.041667,0.035117803
1767.125,0.03358522
1767.208333,0.031898535
1767.291667,0.030136374
1767.375,0.028355648
1767.458333,0.026596846
1767.541667,0.024888128
1767.625,0.023248408
1767.708333,0.021689709
1767.791667,0.020218953
1767.875,0.018839331
1767.958333,0.017551306
1768.041667,0.016353389
1768.125,0.015242731
1768.208333,0.014215583
1768.291667,0.013267634
1768.375,0.012394267
1768.458333,0.011590749
1768.541667,0.010852364
1768.625,0.010174509
1768.708333,0.009552743
1768.791667,0.008982836
1768.875,0.00846078
1768.958333,0.007982807
1769.041667,0.007545387
1769.125,0.007145222
1769.208333,0.006779247
1769.291667,0.006444621
1769.375,0.006138722
1769.458333,0.005859129
1769.541667,0.005603617
1769.625,0.00537014
1769.708333,0.005156822
1769.791667,0.004961939
1769.875,0.004783915
1769.958333,0.004621303
1770.041667,0.004472779
1770.125,0.007910898
1770.208333,0.010238516
1770.291667,0.011736619
1770.375,0.012619798
1770.458333,0.013051565
1770.541667,0.013156183
1770.625,0.013027793
1770.708333,0.012737448
1770.791667,0.012338517
1770.875,0.011870849
1770.958333,0.011363943
1771.041667,0.010839391
1771.125,0.010312766
1771.208333,0.00979508
1771.291667,0.009293916
1771.375,0.008814285
1771.458333,0.008359294
1771.541667,0.007930652
1771.625,0.007529052
1771.708333,0.007154458
1771.791667,0.006806314
1771.875,0.006483717
1771.958333,0.006185527
1772.041667,0.005910454
1772.125,0.00565713
1772.208333,0.005424154
1772.291667,0.005210135
1772.375,0.005013715
1772.458333,0.004833588
1772.541667,0.004668511
1772.625,0.004517312
1772.708333,0.004378889
1772.791667,0.004252215
1772.875,0.004136333
1772.958333,0.004030357
1773.041667,0.003933466
1773.125,0.003844899
1773.208333,0.003763953
1773.291667,0.003689982
1773.375,0.003622394
1773.458333,0.003560645
1773.541667,0.003504234
1773.625,0.003452704
1773.708333,0.003405634
1773.791667,0.003362641
1773.875,0.003323374
1773.958333,0.003287512
1774.041667,0.003254762
1774.125,0.003224854
1774.208333,0.003197542
1774.291667,0.003172599
1774.375,0.003149821
1774.458333,0.003129021
1774.541667,0.003110029
1774.625,0.003092686
1774.708333,0.003076849
1774.791667,0.003062387
1774.875,0.003049181
1774.958333,0.003037122
1775.041667,0.003026112
1775.125,0.00301606
1775.208333,0.00300688
1775.291667,0.002998497
1775.375,0.002990841
1775.458333,0.002983851
1775.541667,0.002977469
1775.625,0.002971643
1775.708333,0.002966322
1775.791667,0.002961463
1775.875,0.002957026
1775.958333,0.002952974
1776.041667,0.002949275
1776.125,0.002945899
1776.208333,0.002942816
1776.291667,0.002939999
1776.375,0.002937427
1776.458333,0.002935078
1776.541667,0.002932935
1776.625,0.002930978
1776.708333,0.002929191
1776.791667,0.002927559
1776.875,0.002926068
1776.958333,0.002924707
1777.041667,0.002923465
1777.125,0.002922332
1777.208333,0.002921296
1777.291667,0.00292035
1777.375,0.002919485
1777.458333,0.002918695
1777.541667,0.002917975
1777.625,0.002917319
1777.708333,0.002916719
1777.791667,0.00291617
1777.875,0.002915669
1777.958333,0.002915211
1778.041667,0.002914795
1778.125,0.002914415
1778.208333,0.002914067
1778.291667,0.002913749
1778.375,0.002913458
1778.458333,0.002913192
1778.541667,0.00291295
1778.625,0.00291273
1778.708333,0.002912529
1778.791667,0.002912344
1778.875,0.002912175
1778.958333,0.002912021
1779.041667,0.002911882
1779.125,0.002911755
1779.208333,0.002911639
1779.291667,0.002911531
1779.375,0.002911433
1779.458333,0.002911343
1779.541667,0.002911262
1779.625,0.002911189
1779.708333,0.002911122
1779.791667,0.002911059
1779.875,0.002911002
1779.958333,0.00291095
1780.041667,0.002910904
1780.125,0.002910862
1780.208333,0.002910823
1780.291667,0.002910786
1780.375,0.002910753
1780.458333,0.002910722
1780.541667,0.002910695
1780.625,0.002910671
1780.708333,0.002910648
1780.791667,0.002910627
1780.875,0.002910608
1780.958333,0.00291059
1781.041667,0.002910575
1781.125,0.002910561
1781.208333,0.002910549
1781.291667,0.002910536
1781.375,0.002910524
1781.458333,0.002910513
1781.541667,0.002910504
1781.625,0.002910497
1781.708333,0.00291049
1781.791667,0.002910482
1781.875,0.002910475
1781.958333,0.002910469
1782.041667,0.002910464
1782.125,0.002910461
1782.208333,0.002910457
1782.291667,0.002910453
1782.375,0.002910448
1782.458333,0.002910444
1782.541667,0.002910441
1782.625,0.002910438
1782.708333,0.002910436
1782.791667,0.002910433
1782.875,0.002910431
1782.958333,0.002910428
1783.041667,0.002910427
1783.125,0.002910427
1783.208333,0.002910426
1783.291667,0.002910424
1783.375,0.002910422
1783.458333,0.00291042
1783.541667,0.109153454
1783.625,0.171757879
1783.708333,0.206351559
1783.791667,0.229079116
1783.875,0.244017491
1783.958333,0.252351969
1784.041667,0.254800947
1784.125,0.252473966
1784.208333,0.246714151
1784.291667,0.238533407
1784.375,0.228563953
1784.458333,0.217363609
1784.541667,0.205503675
1784.625,0.193368557
1784.708333,0.180807975
1784.791667,0.167576954
1784.875,0.154988864
1784.958333,0.143103513
1785.041667,0.131949145
1785.125,0.121531085
1785.208333,0.11183837
1785.291667,0.102848764
1785.375,0.094532589
1785.458333,0.086855534
1785.541667,0.079780837
1785.625,0.073270736
1785.708333,0.067287536
1785.791667,0.06179428
1785.875,0.05675529
1785.958333,0.05213644
1786.041667,0.047905326
1786.125,0.04826887
1786.208333,0.047630272
1786.291667,0.046297191
1786.375,0.044500334
1786.458333,0.042411577
1786.541667,0.040157948
1786.625,0.037832348
1786.708333,0.035501789
1786.791667,0.033213705
1786.875,0.031000795
1786.958333,0.028884671
1787.041667,0.02687868
1787.125,0.024990038
1787.208333,0.023221501
1787.291667,0.021572623
1787.375,0.020040705
1787.458333,0.01862153
1787.541667,0.017309903
1787.625,0.016100044
1787.708333,0.014985873
1787.791667,0.013961225
1787.875,0.013019988
1787.958333,0.012156207
1788.041667,0.011364149
1788.125,0.010638344
1788.208333,0.009973624
1788.291667,0.009365127
1788.375,0.008808315
1788.458333,0.00829896
1788.541667,0.007833147
1788.625,0.007407253
1788.708333,0.007017934
1788.791667,0.006662111
1788.875,0.006336951
1788.958333,0.006039851
1789.041667,0.00576842
1789.125,0.005520462
1789.208333,0.005293962
1789.291667,0.005087075
1789.375,0.004898111
1789.458333,0.004725527
1789.541667,0.004567907
1789.625,0.004423959
1789.708333,0.004292499
1789.791667,0.004172446
1789.875,0.004062814
1789.958333,0.003962699
1790.041667,0.003871279
1790.125,0.003787799
1790.208333,0.00371157
1790.291667,0.00364196
1790.375,0.003578397
1790.458333,0.003520355
1790.541667,0.003467357
1790.625,0.003418963
1790.708333,0.003374773
1790.791667,0.003334422
1790.875,0.003297576
1790.958333,0.003263932
1791.041667,0.003233213
1791.125,0.003205163
1791.208333,0.003179551
1791.291667,0.003156163
1791.375,0.003134806
1791.458333,0.003115306
1791.541667,0.003097501
1791.625,0.003081243
1791.708333,0.003066399
1791.791667,0.003052843
1791.875,0.003040465
1791.958333,0.003029163
1792.041667,0.003018844
1792.125,0.003009422
1792.208333,0.003000818
1792.291667,0.002992962
1792.375,0.002985787
1792.458333,0.002979235
1792.541667,0.002973254
1792.625,0.002967794
1792.708333,0.002962808
1792.791667,0.002958254
1792.875,0.002954096
1792.958333,0.002950299
1793.041667,0.002946833
1793.125,0.002943669
1793.208333,0.002940779
1793.291667,0.00293814
1793.375,0.002935729
1793.458333,0.002933528
1793.541667,0.002931519
1793.625,0.002929685
1793.708333,0.002928011
1793.791667,0.002926481
1793.875,0.002925083
1793.958333,0.002923808
1794.041667,0.002922644
1794.125,0.002921582
1794.208333,0.002920612
1794.291667,0.002919724
1794.375,0.002918914
1794.458333,0.002918174
1794.541667,0.002917499
1794.625,0.002916884
1794.708333,0.002916322
1794.791667,0.002915807
1794.875,0.002915338
1794.958333,0.002914909
1795.041667,0.002914519
1795.125,0.002914162
1795.208333,0.002913837
1795.291667,0.002913538
1795.375,0.002913265
1795.458333,0.002913016
1795.541667,0.00291279
1795.625,0.002912584
1795.708333,0.002912395
1795.791667,0.002912222
1795.875,0.002912064
1795.958333,0.00291192
1796.041667,0.002911789
1796.125,0.006434385
1796.208333,0.008850761
1796.291667,0.010438889
1796.375,0.011411209
1796.458333,0.011929736
1796.541667,0.012117723
1796.625,0.012068664
1796.708333,0.011853235
1796.791667,0.011524627
1796.875,0.01112265
1796.958333,0.010676872
1797.041667,0.01020902
1797.125,0.013512833
1797.208333,0.015635162
1797.291667,0.016881938
1797.375,0.017486244
1797.458333,0.017625179
1797.541667,0.017432874
1797.625,0.017010516
1797.708333,0.01643408
1797.791667,0.015760267
1797.875,0.01503106
1797.958333,0.014277205
1798.041667,0.013520885
1798.125,0.012777785
1798.208333,0.012058692
1798.291667,0.011370728
1798.375,0.010718288
1798.458333,0.010103766
1798.541667,0.009528109
1798.625,0.008991225
1798.708333,0.008492295
1798.791667,0.008029997
1798.875,0.007602684
1798.958333,0.007208509
1799.041667,0.006845509
1799.125,0.00651168
1799.208333,0.006205027
1799.291667,0.005923603
1799.375,0.005665534
1799.458333,0.005429035
1799.541667,0.005212424
1799.625,0.005014121
1799.708333,0.00483265
1799.791667,0.004666638
1799.875,0.004514816
1799.958333,0.004376007
1800.041667,0.004249122
1800.125,0.004133159
1800.208333,0.00402719
1800.291667,0.003930366
1800.375,0.003841905
1800.458333,0.003761092
1800.541667,0.003687272
1800.625,0.003619844
1800.708333,0.003558256
1800.791667,0.003502004
1800.875,0.003450629
1800.958333,0.003403712
1801.041667,0.003360866
1801.125,0.003321739
1801.208333,0.003286009
1801.291667,0.003253379
1801.375,0.003223583
1801.458333,0.003196373
1801.541667,0.003171528
1801.625,0.003148842
1801.708333,0.003128126
1801.791667,0.003109208
1801.875,0.003091933
1801.958333,0.003076159
1802.041667,0.003061757
1802.125,0.003048607
1802.208333,0.003036599
1802.291667,0.003025633
1802.375,0.00301562
1802.458333,0.003006477
1802.541667,0.002998129
1802.625,0.002990507
1802.708333,0.002983547
1802.791667,0.002977191
1802.875,0.002971387
1802.958333,0.002966088
1803.041667,0.00296125
1803.125,0.002956833
1803.208333,0.002952799
1803.291667,0.002949115
1803.375,0.00294575
1803.458333,0.002942679
1803.541667,0.002939875
1803.625,0.002937315
1803.708333,0.002934977
1803.791667,0.002932842
1803.875,0.002930892
1803.958333,0.002929112
1804.041667,0.002927487
1804.125,0.002926004
1804.208333,0.002924649
1804.291667,0.002923411
1804.375,0.00292228
1804.458333,0.002921248
1804.541667,0.002920306
1804.625,0.002919447
1804.708333,0.002918662
1804.791667,0.002917945
1804.875,0.002917289
1804.958333,0.002916691
1805.041667,0.002916145
1805.125,0.002915648
1805.208333,0.002915193
1805.291667,0.002914777
1805.375,0.002914397
1805.458333,0.002914049
1805.541667,0.002913733
1805.625,0.002913445
1805.708333,0.002913181
1805.791667,0.00291294
1805.875,0.00291272
1805.958333,0.002912519
1806.041667,0.002912336
1806.125,0.002912169
1806.208333,0.002912017
1806.291667,0.002911877
1806.375,0.002911749
1806.458333,0.002911631
1806.541667,0.002911525
1806.625,0.002911429
1806.708333,0.002911341
1806.791667,0.00291126
1806.875,0.002911185
1806.958333,0.002911117
1807.041667,0.002911056
1807.125,0.002911001
1807.208333,0.00291095
1807.291667,0.002910903
1807.375,0.002910859
1807.458333,0.002910819
1807.541667,0.002910783
1807.625,0.002910752
1807.708333,0.002910722
1807.791667,0.002910695
1807.875,0.002910669
1807.958333,0.002910646
1808.041667,0.002910626
1808.125,0.002910608
1808.208333,0.002910592
1808.291667,0.002910576
1808.375,0.00291056
1808.458333,0.002910546
1808.541667,0.002910534
1808.625,0.002910524
1808.708333,0.002910515
1808.791667,0.002910505
1808.875,0.002910496
1808.958333,0.002910488
1809.041667,0.002910483
1809.125,0.101184652
1809.208333,0.165808168
1809.291667,0.205517084
1809.375,0.230681213
1809.458333,0.24536764
1809.541667,0.252303561
1809.625,0.253502841
1809.708333,0.250308137
1809.791667,0.243217414
1809.875,0.232093748
1809.958333,0.219663624
1810.041667,0.20661348
1810.125,0.19338323
1810.208333,0.180287167
1810.291667,0.167544397
1810.375,0.155302508
1810.458333,0.143655673
1810.541667,0.132659336
1810.625,0.122338009
1810.708333,0.112696847
1810.791667,0.103726024
1810.875,0.095405365
1810.958333,0.087707793
1811.041667,0.080601883
1811.125,0.074053787
1811.208333,0.068028604
1811.291667,0.062491355
1811.375,0.057407732
1811.458333,0.052744553
1811.541667,0.048470106
1811.625,0.04455435
1811.708333,0.040969015
1811.791667,0.037687623
1811.875,0.034685499
1811.958333,0.031939714
1812.041667,0.029429034
1812.125,0.027133821
1812.208333,0.025035971
1812.291667,0.023118803
1812.375,0.021366983
1812.458333,0.019766425
1812.541667,0.018304201
1812.625,0.016968465
1812.708333,0.015748351
1812.791667,0.014633917
1812.875,0.013616058
1812.958333,0.012686445
1813.041667,0.011837457
1813.125,0.011062123
1813.208333,0.010354071
1813.291667,0.009707473
1813.375,0.009117007
1813.458333,0.008577808
1813.541667,0.008085432
1813.625,0.007635816
1813.708333,0.007225251
1813.791667,0.006850347
1813.875,0.006508009
1813.958333,0.006195411
1814.041667,0.005909972
1814.125,0.005649331
1814.208333,0.005411336
1814.291667,0.005194019
1814.375,0.004995582
1814.458333,0.004814389
1814.541667,0.00464894
1814.625,0.004497868
1814.708333,0.004359922
1814.791667,0.004233963
1814.875,0.004118948
1814.958333,0.004013928
1815.041667,0.003918034
1815.125,0.003830474
1815.208333,0.003750523
1815.291667,0.003677518
1815.375,0.144691519
1815.458333,0.2267848
1815.541667,0.281814376
1815.625,0.317934911
1815.708333,0.339294036
1815.791667,0.350921247
1815.875,0.355701345
1815.958333,0.354317625
1816.041667,0.346556421
1816.125,0.333901047
1816.208333,0.318009634
1816.291667,0.299267879
1816.375,0.280033256
1816.458333,0.260989928
1816.541667,0.242457247
1816.625,0.224650684
1816.708333,0.207708034
1816.791667,0.191709505
1816.875,0.176692971
1816.958333,0.162665731
1817.041667,0.149613459
1817.125,0.137506837
1817.208333,0.126306534
1817.291667,0.115966894
1817.375,0.106438708
1817.458333,0.097671222
1817.541667,0.089613612
1817.625,0.082215992
1817.708333,0.075430157
1817.791667,0.069209996
1817.875,0.063511805
1817.958333,0.05829443
1818.041667,0.053519352
1818.125,0.049150648
1818.208333,0.045154952
1818.291667,0.041501359
1818.375,0.038161304
1818.458333,0.035108437
1818.541667,0.032318501
1818.625,0.029769181
1818.708333,0.027439982
1818.791667,0.025312098
1818.875,0.023368281
1818.958333,0.021592727
1819.041667,0.019970964
1819.125,0.018489741
1819.208333,0.017136934
1819.291667,0.015901451
1819.375,0.01477315
1819.458333,0.013742758
1819.541667,0.012801799
1819.625,0.011942528
1819.708333,0.011157862
1819.791667,0.010441333
1819.875,0.009787031
1819.958333,0.009189558
1820.041667,0.008643983
1820.125,0.008145801
1820.208333,0.007690896
1820.291667,0.007275511
1820.375,0.006896213
1820.458333,0.006549871
1820.541667,0.00623362
1820.625,0.005944849
1820.708333,0.005681168
1820.791667,0.005440399
1820.875,0.005220549
1820.958333,0.005019804
1821.041667,0.004836503
1821.125,0.007477131
1821.208333,0.009250588
1821.291667,0.010376999
1821.375,0.011024515
1821.458333,0.011321308
1821.541667,0.011364777
1821.625,0.011228651
1821.708333,0.010968492
1821.791667,0.010625937
1821.875,0.010231976
1821.958333,0.009809483
1822.041667,0.00937516
1822.125,0.00894104
1822.208333,0.008515615
1822.291667,0.008104722
1822.375,0.007712205
1822.458333,0.007340422
1822.541667,0.006990623
1822.625,0.006663253
1822.708333,0.006358173
1822.791667,0.006074865
1822.875,0.016119529
1822.958333,0.022949199
1823.041667,0.027374678
1823.125,0.030015579
1823.208333,0.031344601
1823.291667,0.031721415
1823.375,0.031418755
1823.458333,0.030642556
1823.541667,0.029547551
1823.625,0.028249249
1823.708333,0.026833166
1823.791667,0.025361908
1823.875,0.023880666
1823.958333,0.022421497
1824.041667,0.021006636
1824.125,0.019650955
1824.208333,0.018363811
1824.291667,0.017150723
1824.375,0.016013606
1824.458333,0.014952512
1824.541667,0.013965982
1824.625,0.013051535
1824.708333,0.012206004
1824.791667,0.011425803
1824.875,0.010707118
1824.958333,0.010046045
1825.041667,0.009438688
1825.125,0.008881231
1825.208333,0.008369995
1825.291667,0.007901465
1825.375,0.007472316
1825.458333,0.007079424
1825.541667,0.00671987
1825.625,0.006390936
1825.708333,0.006090104
1825.791667,0.00581504
1825.875,0.005563591
1825.958333,0.005333775
1826.041667,0.005123762
1826.125,0.004931871
1826.208333,0.004756555
1826.291667,0.004596396
1826.375,0.004450094
1826.458333,0.004316458
1826.541667,0.004194398
1826.625,0.004082917
1826.708333,0.003981101
1826.791667,0.003888114
1826.875,0.003803194
1826.958333,0.003725645
1827.041667,0.003654828
1827.125,0.00359016
1827.208333,0.003531107
1827.291667,0.00347718
1827.375,0.003427937
1827.458333,0.003382971
1827.541667,0.003341912
1827.625,0.00330442
1827.708333,0.003270184
1827.791667,0.003238922
1827.875,0.003210376
1827.958333,0.00318431
1828.041667,0.00316051
1828.125,0.003138778
1828.208333,0.003118934
1828.291667,0.003100814
1828.375,0.003084267
1828.458333,0.003069159
1828.541667,0.003055364
1828.625,0.003042768
1828.708333,0.003031267
1828.791667,0.003020765
1828.875,0.003011174
1828.958333,0.003002417
1829.041667,0.002994422
1829.125,0.002987123
1829.208333,0.002980458
1829.291667,0.00297437
1829.375,0.00296881
1829.458333,0.002963735
1829.541667,0.002959101
1829.625,0.00295487
1829.708333,0.002951007
1829.791667,0.002947479
1829.875,0.002944257
1829.958333,0.002941315
1830.041667,0.00293863
1830.125,0.002936179
1830.208333,0.00293394
1830.291667,0.002931895
1830.375,0.002930027
1830.458333,0.002928321
1830.541667,0.002926765
1830.625,0.002925344
1830.708333,0.002924047
1830.791667,0.002922862
1830.875,0.002921779
1830.958333,0.00292079
1831.041667,0.002919891
1831.125,0.069149539
1831.208333,0.114591203
1831.291667,0.144460292
1831.375,0.162052085
1831.458333,0.171097927
1831.541667,0.174517674
1831.625,0.174198262
1831.708333,0.17103372
1831.791667,0.164903855
1831.875,0.157355172
1831.958333,0.14898059
1832.041667,0.14018744
1832.125,0.131272166
1832.208333,0.122446762
1832.291667,0.11385913
1832.375,0.105608907
1832.458333,0.097759698
1832.541667,0.090352061
1832.625,0.083397674
1832.708333,0.076900656
1832.791667,0.070854841
1832.875,0.065246965
1832.958333,0.060058982
1833.041667,0.055269845
1833.125,0.050856778
1833.208333,0.046796239
1833.291667,0.043064618
1833.375,0.039638719
1833.458333,0.036496137
1833.541667,0.033615475
1833.625,0.030976483
1833.708333,0.028560119
1833.791667,0.026348565
1833.875,0.024325217
1833.958333,0.022474644
1834.041667,0.020782541
1834.125,0.019235677
1834.208333,0.017821845
1834.291667,0.016529797
1834.375,0.015349187
1834.458333,0.014270514
1834.541667,0.013285065
1834.625,0.01238485
1834.708333,0.011562552
1834.791667,0.010811471
1834.875,0.010125476
1834.958333,0.009498955
1835.041667,0.008926776
1835.125,0.056775943
1835.208333,0.089488436
1835.291667,0.11086947
1835.375,0.123830034
1835.458333,0.130591639
1835.541667,0.13284498
1835.625,0.131872438
1835.708333,0.128642728
1835.791667,0.123883608
1835.875,0.118138517
1835.958333,0.111810261
1836.041667,0.105194951
1836.125,0.098507536
1836.208333,0.091901322
1836.291667,0.085482869
1836.375,0.079323661
1836.458333,0.073468963
1836.541667,0.067945582
1836.625,0.062763804
1836.708333,0.057925448
1836.791667,0.053425012
1836.875,0.049251923
1836.958333,0.045392258
1837.041667,0.041829994
1837.125,0.038547938
1837.208333,0.035528418
1837.291667,0.032753766
1837.375,0.030206669
1837.458333,0.027870414
1837.541667,0.025729044
1837.625,0.023767469
1837.708333,0.021971486
1837.791667,0.020327818
1837.875,0.018824083
1837.958333,0.017448789
1838.041667,0.016191286
1838.125,0.015041731
1838.208333,0.013991047
1838.291667,0.013030872
1838.375,0.012153519
1838.458333,0.01135193
1838.541667,0.010619628
1838.625,0.009950675
1838.708333,0.00933963
1838.791667,0.008781512
1838.875,0.00827176
1838.958333,0.007806204
1839.041667,0.00738103
1839.125,0.006992743
1839.208333,0.006638151
1839.291667,0.006314338
1839.375,0.006018634
1839.458333,0.005748606
1839.541667,0.005502026
1839.625,0.005276861
1839.708333,0.005071253
1839.791667,0.004883503
