,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
DM,6058.807069913152,5951.100422109307,4565.16052103884,3891.6162481660713,4024.6039490443295,4790.487780365465,4525.248732975623,4525.774739534858,4610.13097734962,4480.90755615992,4516.320343418019,3833.4339438427724,3793.7705082310003,4411.047407799066,3836.3443626080875,4204.620599497487,3638.660859722604,4174.013229852281,4646.545757790622,3840.8640725775567,3971.7280715547254,3769.5119987098865,4752.156101551485,4066.54959893377,4742.174361117881
C,3031.9920689487426,2892.8967947378187,2226.7517390912976,1894.8677597970236,1962.1216405845796,2343.587889822221,2199.9354755111076,2213.001328265528,2252.4727515023474,2207.385620372274,2202.978899201413,1862.8930092170988,1862.5407140380598,2150.493158486055,1872.0435602391087,2047.4093411822403,1773.2621084523767,2044.5872061737577,2289.8348149138324,1869.2928190624987,1927.6193390712901,1832.7133520369664,2325.0628975546683,1976.9987618642238,2289.0094609793305
CO2,10095.25677545384,9808.624435169508,7589.790632506302,6463.779150980353,6703.632521559572,7924.142738304258,7451.358768894978,7514.519174411146,7656.74653303529,7433.165379186022,7507.120127093892,6339.892494588964,6311.00175131597,7318.483640048173,6371.465787179134,6940.209866303887,6024.374675331369,6899.533739923912,7683.833470830405,6355.635872799211,6542.046332511991,6214.694845143212,7829.326820152773,6714.526542735428,7696.879079845377
CO,587.774971548467,473.4716338175673,341.76765597638285,288.3000609364727,292.5083541274204,394.0310250873543,364.52707932070444,354.47819777362037,356.42169655342656,386.0047732283974,338.85976548888516,291.9470631797225,304.9724152620612,336.30865416767983,292.33413817316193,335.76068367551943,283.2223179673548,350.9149925898547,415.15780889557595,296.0112066338591,312.5530704442036,299.70056439388327,408.93764391187375,317.59501948168,412.354608362594
CH4,35.78176745697566,19.868629397703767,13.783159498643887,11.282861849668514,11.330660567309288,18.117316353425114,15.361827689589148,15.557346371373237,15.3562957973078,19.637656824573256,13.80945288894017,11.615657240103893,14.208308860966707,13.881326787410988,12.113906772327335,14.303832023538533,11.826983787020328,16.672451385882486,21.75893988914658,12.101312148816474,12.632096316070848,12.471945041090224,19.377761637934064,12.869997677550431,17.51740634232984
NMHC,20.67546381804852,24.93929974047492,18.026436697195336,15.934389920451531,16.35394409411499,19.557709536227016,19.97666454269181,17.277542393672153,17.640254296468314,17.766011438559982,17.02227616054303,16.8704573604264,15.115414418615345,16.84491342223363,15.526816135870707,17.889946732938927,15.154475080684369,17.22344392168852,18.221523988820987,15.680626585551124,17.600844785144055,16.500585649195703,20.78460935630378,17.701619586502296,24.090265654385135
H2,14.395116951899087,12.5282475993317,9.25393265380503,7.71076707649605,7.736670047160371,10.025549869474634,9.17675550350916,9.590344433400913,9.76833853771701,9.754084463319092,9.559410872338518,7.543553185932037,7.8151181164651975,9.400528299301516,7.606172284191057,8.506187930666213,7.298413094466488,8.852776136797383,10.373742731320872,7.874398523388144,7.958868324797568,7.530102562592352,10.132949156245225,8.334288983008744,9.553030081419365
NOx,18.032902504957956,19.06380146871181,15.618348726206637,13.432886708738765,14.246407051138023,15.339865584477865,14.32518077349654,15.099063484679458,15.53326361353042,14.17254963127518,15.370436833829551,12.940023007425971,12.67236167285314,14.772043843513815,13.082982337382688,13.58753232903129,12.070459752849729,13.182394668644458,14.13954809147652,12.748103806546368,12.79258349045294,12.134924069392026,14.295898538930322,13.098198952403834,13.387709296046706
N2O,1.2182886128990578,1.2935322739091906,0.930852385462097,0.7977902185031022,0.812260710419286,1.026758675584408,1.0057091462377783,0.9291922481594324,0.9360058485562256,0.9209218947231137,0.9096773000743206,0.8059273704034036,0.7680352593631126,0.9039974705243625,0.7991034406141975,0.9221548938793763,0.7762383612326574,0.8927845836704837,0.990681960578643,0.8156033117057632,0.877605785273041,0.8341742167350659,1.0410703639577799,0.8681316915293307,1.1843209862607302
PM2.5,49.85370859446008,50.78769908754148,36.550752641962134,31.010043847826072,31.228593523181367,40.322150972660346,39.45167344601296,36.49262206917508,36.78119086866537,37.003419545229164,35.99708484879373,31.275969309683923,30.30872879681473,35.7659125259289,30.811812124959243,35.762264528261944,30.15671878819125,35.296837706127185,39.580258199825835,31.77196546725686,34.23605495831174,32.40789054567038,42.43129887880851,34.9368954964965,46.26783627351323
TPM,65.84588294228092,64.40652311261134,46.372597883677194,39.20239760618487,39.28005422498421,51.092956890114316,49.392246035080255,46.723821728547094,47.28537775591482,47.90726348016147,46.25295260212907,39.52726627877303,38.79169743620984,45.87327280711334,38.7251546258712,44.76308129405593,37.86669864083416,44.99118081222487,51.0286416523734,40.13720148597993,42.82657444545413,40.42564540243741,53.95368365576144,44.262264215418604,56.81399721800825
TPC,26.3130128959798,26.149841967254304,17.958783136615843,15.072075288190277,14.769681758535102,20.69449351646647,20.636165012776114,18.086410731894595,18.06226335761703,19.089311553444674,17.681616753024734,15.471397439248772,15.03602427085351,17.805531855995657,15.047747012440645,18.291132217835994,15.145533434003227,18.27117881809125,20.832621017558846,15.925042521566922,17.682093381452272,16.700362623399283,23.12863558504354,18.305455339627546,25.868241309858586
OC,23.97278540981032,23.502211231167667,15.99477704272347,13.389758615609564,13.066640810327995,18.663189672368365,18.667815856388472,16.135617516125187,16.05445303988139,17.21845772455676,15.694526796034575,13.78978318570614,13.456070814465676,15.857504999444723,13.426842713020234,16.486588476748445,13.590405604738962,16.49806114902704,18.896146711684608,14.24909282528685,15.93988767084212,15.074657631747975,21.091601981389303,16.507350575808225,23.753090800183173
BC,2.2957107842399265,2.60039960309111,1.9252341052174202,1.6496037263600383,1.668702501872859,1.9939471484565847,1.9341769718100121,1.9126701879214192,1.9686225236688695,1.836848634329279,1.9476921988646345,1.6512465070847617,1.549585089123412,1.9101539235269647,1.5890578746575046,1.7717160720882048,1.525861858458865,1.741374127165573,1.901933756389106,1.64435158578183,1.7116607869137617,1.596743178731736,2.0033861705541165,1.7665990781749938,2.085034063302769
SO2,2.9112892249099884,3.24731871283712,2.3509617233261215,2.017833542532224,2.049555275098094,2.5755943028589585,2.5974806828566734,2.2795456588944774,2.2925880652207558,2.3103815279063866,2.248830830920769,2.061345714155186,1.9337127968530314,2.2353665073341875,1.9992537215338302,2.331002071454603,1.9644357885687234,2.2457296953973143,2.4419791738466117,2.0412668866583843,2.2604109146037037,2.137309343345357,2.76512680231711,2.300203185614308,3.137420509366236
C2H6,4.4313926180322465,4.858819512492898,3.38195610323575,2.929466271591755,2.9555472884637006,3.811783741523487,3.786946435637413,3.396203299770392,3.4298705500405133,3.423265336520743,3.3004455256665084,3.0406777803426928,2.819652539431936,3.3009789863581758,2.925364283082279,3.442580161188269,2.870335426629033,3.3396973549438176,3.6981882352729065,3.0174464004937085,3.3071775102406713,3.12815264792588,3.9178547894419395,3.2416312490358803,4.632694519091703
CH3OH,16.703195824934443,10.573666781283162,7.503990592525186,6.2420577098070895,6.316285512014515,9.298793768205552,8.114761395895732,8.186373010625053,8.169772543899427,9.768920955031314,7.5040502243364475,6.390947943056041,7.324331574132561,7.482897580914065,6.5166339837486245,7.544926444041956,6.313386111966121,8.464926657775324,10.651459762994202,6.525587343480365,6.804729775151723,6.630503676728329,9.761301157813381,6.931096408437722,9.071410019425548
C2H5OH,0.19379095252120043,0.19208795800263337,0.13943611062287828,0.11679118943806699,0.1161019941300719,0.15277700763248495,0.1513081317463363,0.1369879307097882,0.13798026047397885,0.14386395603246296,0.13703313782690268,0.11775313582468161,0.11589447545608522,0.1360114582859191,0.11431313884453917,0.1339443493247936,0.11343113585818689,0.1348047194024602,0.1514526994342913,0.11915633841042902,0.13025140826325124,0.12245562207300711,0.17213806058739972,0.13985636381897532,0.1780140423086715
C3H8,0.8110869641259733,0.9427515652997934,0.6213456611029158,0.5435099717403039,0.5369924594517055,0.7275613377284472,0.7475778908144045,0.6239698253310695,0.629166876468719,0.6508603115861041,0.6005089101563601,0.5868401884305048,0.5230851073718261,0.608779155026412,0.5404845313739888,0.6640632386645975,0.5439636787433729,0.6440935807583719,0.7096736409611463,0.5699273449895383,0.6503344920386267,0.6106428743877428,0.7872192362375832,0.6378413605201699,0.9818477343023139
C2H2,1.5416997429371353,1.606113501216131,1.2137128499472298,1.0146914728245844,1.0190423331958962,1.2338645583766525,1.1561359080672649,1.2259621824233111,1.260263755880207,1.1525869307718168,1.264407094837402,0.9749332617152675,0.9617440982594486,1.2350307290414817,0.977286015122247,1.0713409874447422,0.9315016385354932,1.0722689167308932,1.2034727454908625,1.0209455086607344,1.0192133612239247,0.952313737383052,1.219590924373842,1.0783319458489287,1.1571356613239758
C2H4,7.3017088634053895,5.8896819028392695,4.329027197995984,3.667714739476567,3.753613086920949,4.922965821825384,4.543834547655412,4.45102630599165,4.4880543406903985,4.842442150638284,4.2676986321070105,3.7094576312777825,3.867822664549027,4.2158845356926316,3.703624569283857,4.1962432583988285,3.564020887190802,4.382661408445818,5.149467678045948,3.713016536492696,3.908279342409163,3.747126677388431,5.078785540913799,3.983337971211243,5.031788382632299
C3H6,6.726581912440032,4.784835245537103,3.6214566420033383,3.0683583205597946,3.222969662404124,4.218915522080014,3.788474984399612,3.73381182149945,3.72268782460011,4.205636661219411,3.469657642098818,3.0778834283845224,3.370616687577146,3.418625174294026,3.1881721947456265,3.559286199292364,3.0278026428006326,3.753100988942724,4.4891389686538385,3.077897764519921,3.2305961745540337,3.1598237393313275,4.264504088166296,3.21861993565769,4.127060102036144
C5H8,1.7554004584924954,0.5828806132188205,0.41383225377241284,0.3318622590180113,0.3507244499903922,0.654063953715849,0.4728406848860477,0.5200838721066997,0.5014656586660687,0.8239601377179733,0.3965330346947188,0.35755005783810945,0.5579373311326414,0.39931604041698915,0.39505344098295,0.457485870917673,0.3762057632527044,0.6314531481991253,0.9112706796714914,0.35501205096154054,0.3625376957018063,0.3835625789686434,0.7108863798108624,0.3672568128171886,0.5005744878612437
C10H16,1.2618705598091073,2.103113627588897,1.126541701573186,0.9683588819063932,0.8454706105208154,1.566663895502979,1.9188729400886808,1.0408576814087602,0.9716906381560025,1.2390005389215089,0.9587738791501815,1.1652079051930868,0.8993359805157893,1.0652441104802586,0.9858234432616567,1.5317302729443563,1.155384788999096,1.3916047645432017,1.4717542530331327,1.154273745615849,1.6082921784947093,1.4980022395678512,2.21972997664558,1.6386959737241968,3.2457380265413422
C7H8,2.2293825624609465,1.0447416846731847,0.6768568679628685,0.5424309751072989,0.5379949733653815,1.0161249298692638,0.8467658752330459,0.8063249589796724,0.7718885677467645,1.129616691663146,0.6583330275332113,0.5772049303803759,0.7737679591866321,0.6796760259655338,0.6246184215107002,0.7835240190754844,0.625843990284734,0.9480879344629074,1.2942479379370284,0.6183233929443859,0.672484947348534,0.6816749004213755,1.133391897168198,0.666732147378769,1.0668823163722976
C6H6,4.444715452449488,2.1053496571785626,1.3615491948532628,1.1054362258536106,1.118052775411878,2.0791133886432713,1.76247892121705,1.6019398180770363,1.5162745838873382,2.259833765434933,1.2716142638463261,1.1875643505585072,1.5673765466950909,1.3215611031636358,1.296846855151475,1.6350410445332793,1.2982012048489822,1.927666056833896,2.605732686444126,1.2575530550863065,1.4019902683037806,1.4321532642655774,2.301649569956183,1.3420061195167687,2.2973481591650877
C8H10,0.3810293187684303,0.3552967485317235,0.2122441527994747,0.17565885655171715,0.15772075473484787,0.2706165877934171,0.27002268911785526,0.23153898023078837,0.23162315633810235,0.25886501137238516,0.22246365667245116,0.19084714343685458,0.18386356643371154,0.23035931264583143,0.1751388772499739,0.23356858360605218,0.1856713341751239,0.2457452902732676,0.296101333518173,0.20169976115317823,0.2281613861395457,0.21245957032825893,0.3174140489200301,0.23655434440703232,0.3698183054821509
Toluene_lump,6.389004209108775,3.2147157934776383,2.0621306497298955,1.672656241988598,1.6618515485111944,3.0722701643728567,2.637496349272544,2.413150342092386,2.3053110183064787,3.3187116167558233,1.9740962638697932,1.7938502358167074,2.3003344486927317,2.046547611034894,1.9179983728484262,2.427357949439433,1.9310599535461397,2.8468111404903467,3.8170899713767628,1.904915161873977,2.1126253494901914,2.130971222119714,3.4241103984878376,2.059837086389186,3.42526372203654
Higher_Alkenes,1.252817801346234,1.217259420594256,0.8457888946096601,0.7151479973743687,0.7041322145505524,0.955970073015217,0.9305651854929299,0.8639285019300179,0.8749393046267645,0.9053494253991542,0.8511415656915052,0.7352303186084209,0.7151710674330929,0.8501731054858636,0.7046352741122957,0.8345539537713111,0.6986124314728114,0.8493232188882825,0.9734216015910087,0.7440709744649707,0.8039858925361838,0.755300552667524,1.0329237552503971,0.832826160963876,1.1087546074811105
Higher_Alkanes,0.5498506386430448,0.6790521083937838,0.4341454885647862,0.38680553922473176,0.3787289523551296,0.5166054621852589,0.5441795360189126,0.4327942681388914,0.439514250380696,0.46712959024814504,0.41494645331136815,0.43411979546952995,0.37178245561722123,0.42299494367350854,0.37921170939687215,0.4752067228196637,0.38677040993717826,0.46307600330912835,0.5033120118543112,0.40372208914762125,0.47454282649157714,0.4414823817294082,0.5783223984628979,0.46741608593030215,0.7390630707063778
CH2O,7.1926827179955755,6.885901276191927,4.825993782282711,4.053887260795925,3.9724033154761154,5.370091392264616,5.160938267689403,4.961604209464562,5.049846526899911,5.149476903353893,4.94378897374085,4.122147613589057,4.053686242250945,4.918914824498527,3.9592895201233924,4.6402402087913845,3.909768996775685,4.777025037463628,5.510383828715418,4.2102643439415735,4.465505731945565,4.178671257597292,5.769276687327805,4.694864165791292,5.95071614074698
C2H4O,7.533706277597372,4.927354740707394,3.5889788217699596,2.9245763864081895,2.919478160558502,4.207090956326358,3.6005550560451947,3.921283160622633,3.9501609728567524,4.420123066808691,3.7468566045623612,2.8639052939672025,3.330046330167759,3.702969112825632,2.9842712032377516,3.37143551867984,2.86700646911856,3.801569540839173,4.79530317254347,3.0573370416316465,3.0362440249439655,2.9300981993547732,4.33704506413198,3.211060063671546,3.683324465447721
C3H6O,2.863613304609446,2.049158952934746,1.3460113331896921,1.0963875175127482,1.0446300751118416,1.6966047132695092,1.551967443947609,1.4854899819811451,1.4768978406273063,1.7208294856425634,1.393590372169174,1.1287151244246152,1.245329979346256,1.4145683933063506,1.1304263383128472,1.3979501113822974,1.141748051490856,1.5403552190109695,1.933471545475895,1.2138147909835797,1.2964624923763342,1.2409954687394968,1.8808084952237953,1.3481795665529477,1.9012041492383693
NH3,6.01092668095427,6.168595684005975,3.943619745352511,3.399244019767727,3.278499996222742,4.737740737922456,4.694288118936589,4.162358166188683,4.213470081392265,4.398075737107743,3.9949605166245914,3.660666438943577,3.384686194843855,4.062623958929244,3.388031639172261,4.201049199159677,3.420559267227671,4.239207773044571,4.887450388403988,3.6637474541772383,4.062139247163927,3.807507820235012,5.050990182760937,3.9948947397873353,6.071314480573028
C2H6S,0.009514365829493244,0.010950382072675463,0.0077100238006811705,0.0065151532394424885,0.0064256410850498345,0.008638143095856256,0.009134165300581323,0.00725772979222668,0.007210937470101482,0.007770311248134604,0.007222536713553546,0.006767824166108266,0.006300147911400001,0.0072637646494908585,0.006387466197270644,0.007842771966236168,0.0065268593450950796,0.0075932367205812715,0.008210518680582849,0.0067038273266564535,0.007828103050003341,0.00734328201459121,0.010428482461388958,0.008388766370054456,0.011861758284552095
HCN,9.949764764460978,3.4517383979427976,2.4433535956123387,1.9462221873433145,2.094023308434789,3.950699072335609,3.050607547660171,2.945272557135109,2.735834655748545,4.66380715970654,2.1516176341618083,2.0595397849379378,3.207567332357099,2.208069979710492,2.4199383869998683,2.9103420594788822,2.3474402525454443,3.7260618121916687,5.276907524348442,2.136664228910259,2.333466488098214,2.4997001804890817,4.385551716535237,2.2623888938953693,3.6683113587944094
HCOOH,2.5260908051307087,2.425341038430427,1.647159450089901,1.3819977883180556,1.326085636027627,1.829963846364539,1.7108606337132148,1.7652881445381468,1.819492148825687,1.7780895030913744,1.7747434201333514,1.4061489427989187,1.3717230856785474,1.7669788672294835,1.3339278234817902,1.5595529005819786,1.3117038344717564,1.6372344376963908,1.9270385344542493,1.4612353592544542,1.4923200977284556,1.382322166169657,1.8736603715587525,1.5521380651422265,1.905662764823236
CH3COOH,26.643206717056504,21.957846833074164,16.64818893891194,14.29176261605761,14.944778661262967,18.49330956099073,16.94403302631961,16.92173722184113,17.135271244430015,18.03678315502457,16.21714096880075,14.395674709328114,14.842089127475454,15.893251030352559,14.434532088335557,15.898840927776483,13.644403399962249,16.362886720237412,18.915976599531835,14.135372189391353,14.71692190754922,14.162443257029576,18.249352171826306,14.688879610776146,18.0255219049243
MEK,2.0480894152107316,1.71651454051775,1.2396362050677856,1.0489029245888426,1.045162662528986,1.3542362880442373,1.2074967408156634,1.3231296925955505,1.3700136534550231,1.3775363407056338,1.3155049242705765,1.0584682742658755,1.082833819645303,1.2910183940444158,1.0182058718375244,1.127327423764255,0.9702101743718774,1.218836201976205,1.4498029650788222,1.063875302263965,1.0562020711411757,0.9884541699848767,1.3333021979872424,1.1005113505771664,1.2074959091858584
CH3COCHO,4.422929277338665,4.3443034223773305,3.3325672681306155,2.840879935307786,2.937960960196543,3.497056171927888,3.303431661568411,3.3038156455825645,3.3653957013444393,3.271062602935691,3.296913937636668,2.7984068514778246,2.7694525434943276,3.2200646921415643,2.8005314571003184,3.0693731185813813,2.656222496427756,3.047029737389568,3.3919784915642937,2.803830846212572,2.8993615661494165,2.75174383250501,3.4690740473725423,2.9685812848382036,3.4617873794691407
HOCH2CHO,2.9611695253264085,2.694129738413716,1.8302386711435834,1.5219363519312348,1.4657561170029165,2.1110781416567335,2.026889047600662,1.9150277476771482,1.935186353431229,2.036498057333399,1.8862290487203741,1.5566323421048702,1.5577454808581859,1.8930217531340867,1.5023565983870604,1.810260378418001,1.5053118693974599,1.8870143101486596,2.222954184636742,1.6216146283930752,1.7365296176572156,1.629333986524869,2.3184706488771933,1.8259772580468985,2.426760639555126
